nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,left_wrist_x,left_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,left_ankle_x,left_ankle_y
0.41033861,-0.010181345,0.498692453,0.079657406,0.404233724,0.098497413,0.427980065,0.210855931,0.328054786,0.302386075,0.507858574,0.36741206,0.454254299,0.370546997,0.524382472,0.600191712,0.525152922,0.807759702
0.398930788,-0.009099638,0.495515794,0.08784949,0.401556283,0.100557752,0.430295318,0.232409582,0.332983106,0.339346468,0.511516452,0.366377354,0.456252247,0.368246466,0.529067218,0.600026071,0.525595009,0.807595968
0.391710252,0.00382932,0.492254764,0.099819243,0.401529819,0.103846408,0.431354642,0.259032965,0.337526083,0.369633675,0.515166879,0.366622061,0.458569288,0.365404189,0.531972706,0.599731743,0.525708735,0.808593929
0.38224262,0.020100012,0.488078237,0.110188335,0.3989169,0.122038819,0.443900973,0.276253521,0.370492101,0.411815256,0.517472446,0.366718173,0.461216211,0.365720302,0.534964979,0.594836652,0.525704622,0.809227645
0.375368953,0.019491829,0.485022992,0.118687771,0.395545095,0.132482588,0.458094269,0.288555205,0.384517342,0.43165648,0.519524515,0.370789945,0.463011444,0.372809201,0.535368085,0.593015611,0.523825228,0.810041606
0.367630512,0.041425668,0.482835412,0.131909594,0.392218739,0.13523528,0.470083743,0.30716154,0.408330977,0.467450589,0.526113927,0.379578829,0.467334092,0.375060499,0.536724687,0.597414613,0.523138165,0.809981585
0.363094151,0.065770194,0.47993663,0.14510639,0.386570871,0.161552772,0.47385776,0.332739413,0.433416843,0.496573538,0.531718969,0.385506183,0.468866944,0.386292815,0.533784568,0.588178039,0.522750258,0.809703946
0.357492983,0.078049645,0.478109866,0.155928776,0.384772062,0.176269755,0.47642228,0.35068953,0.444445431,0.510645568,0.537920952,0.393418223,0.473217875,0.388032526,0.53355372,0.587666512,0.522383869,0.810216129
0.355355054,0.112367831,0.477060854,0.168190464,0.381797999,0.197246477,0.483772069,0.362841755,0.46442467,0.523245871,0.543278396,0.395676702,0.47971341,0.393767774,0.533249497,0.584729552,0.521188319,0.810507298
0.353160143,0.125439718,0.475926727,0.178680465,0.379552633,0.209600866,0.487553954,0.375301093,0.4733015,0.534554064,0.547777951,0.399513632,0.483975321,0.400868922,0.533020794,0.58396095,0.520053685,0.810606182
0.349831343,0.136334181,0.474764168,0.18679148,0.378567725,0.223576292,0.490976989,0.379102618,0.482055128,0.539400816,0.551431179,0.40554285,0.488299996,0.40717265,0.532864332,0.588344872,0.519422889,0.812754214
0.345679551,0.155467808,0.470951796,0.199680686,0.377836347,0.233210191,0.497180283,0.390310884,0.494262397,0.543970764,0.556320548,0.407309443,0.492186755,0.40593645,0.532844901,0.595791221,0.519497454,0.813183606
0.342958599,0.160867617,0.468583643,0.208179995,0.376550287,0.236004084,0.497886211,0.396885991,0.498215437,0.546563089,0.559253991,0.404542536,0.492255628,0.403735459,0.532776356,0.593176484,0.519980609,0.813042343
0.340418339,0.175736874,0.467307746,0.214957431,0.374706686,0.242034465,0.499662489,0.404603183,0.504991531,0.548784673,0.561859906,0.402863562,0.493511975,0.402658612,0.531249046,0.59312284,0.519506872,0.81306386
0.339321852,0.178452596,0.467080444,0.217752516,0.373911023,0.247415468,0.499916255,0.406349212,0.505842626,0.548698664,0.56380111,0.402647614,0.494313002,0.401997477,0.531651855,0.592450917,0.519170761,0.813235283
0.33801049,0.182771966,0.466085643,0.220416754,0.373944998,0.249348387,0.499207407,0.406492382,0.505263746,0.549507499,0.566369236,0.398211062,0.497770458,0.399738729,0.531458974,0.591360688,0.519239306,0.81319952
0.336876094,0.184380576,0.466649503,0.224883184,0.374095768,0.251375645,0.498692125,0.404712945,0.504102767,0.55224967,0.567708373,0.397079378,0.500220835,0.396342486,0.530261099,0.590106189,0.518866539,0.808045805
0.335874379,0.182850465,0.467179835,0.22614266,0.374418318,0.251267254,0.499835432,0.408226103,0.500187576,0.556157053,0.569491088,0.395875067,0.502863467,0.39425382,0.529351413,0.590110898,0.521366537,0.805582464
0.335949212,0.183057636,0.467395693,0.2252841,0.374679029,0.251672357,0.499674082,0.407653928,0.495916128,0.554204106,0.570911646,0.394120842,0.505305052,0.39411518,0.527820885,0.586811423,0.522903264,0.805009902
0.336805105,0.180690452,0.467619926,0.220928997,0.374866366,0.250365019,0.498958021,0.406911463,0.491768628,0.555200219,0.571776688,0.391570479,0.508014739,0.393968433,0.52558881,0.586878717,0.526873648,0.806193411
0.337527424,0.179166853,0.467658788,0.218411133,0.374958038,0.248381108,0.498911023,0.410264254,0.482860208,0.557944894,0.571961582,0.388712853,0.509534061,0.393636107,0.520985365,0.588587224,0.530104876,0.809511006
0.337860316,0.175746575,0.467704982,0.216946617,0.376938939,0.246350735,0.499195099,0.412413746,0.47441566,0.555340469,0.57312429,0.388615072,0.50944978,0.393435836,0.523299515,0.588012218,0.543898463,0.817382872
0.337719619,0.175520122,0.468102604,0.215955958,0.37869671,0.244981304,0.499364614,0.412073284,0.471484989,0.554567635,0.574618399,0.388593465,0.509613633,0.39334482,0.526221037,0.586478472,0.548197687,0.821585476
0.337667644,0.169157878,0.470370501,0.215732828,0.381457746,0.244138896,0.499166727,0.412506342,0.467504472,0.553928614,0.576392412,0.388635695,0.512385845,0.393380612,0.509722352,0.580114484,0.538043261,0.820055068
0.338226229,0.160893112,0.474377155,0.213819474,0.388819158,0.239468724,0.498136252,0.411387116,0.465671003,0.5531708,0.580720186,0.388501108,0.516327262,0.393144041,0.510374725,0.575185776,0.522357345,0.816046953
0.338826925,0.153253555,0.47699216,0.20762752,0.392890781,0.235841975,0.498051733,0.403233469,0.466139257,0.55306232,0.584286809,0.388435751,0.518167138,0.393065631,0.51139456,0.575321674,0.520364344,0.815912545
0.338856041,0.141480967,0.479845375,0.199770585,0.399725109,0.226363763,0.498194367,0.39366281,0.466449797,0.549833834,0.589926839,0.387001842,0.524023235,0.391507655,0.502787888,0.574341953,0.515085995,0.812649429
0.344057381,0.127251446,0.481398106,0.196556911,0.40548718,0.217624083,0.500382543,0.390708983,0.470775545,0.547617376,0.595073462,0.386919349,0.528743505,0.388848752,0.516948998,0.580051601,0.532329619,0.822955668
0.349274993,0.119153842,0.485782921,0.190422609,0.408149004,0.211234808,0.503763795,0.385720223,0.474651039,0.542012095,0.598081052,0.386904299,0.530002296,0.388660878,0.536355615,0.58419168,0.543417037,0.829478323
0.357142925,0.110355735,0.493697435,0.185017511,0.412456512,0.205853373,0.510228753,0.381306082,0.483624369,0.537571251,0.602109194,0.386255324,0.533851326,0.387446135,0.543719172,0.588973224,0.547071159,0.830088794
0.361796975,0.103496522,0.496391535,0.179114252,0.415569305,0.201156467,0.516093433,0.377168208,0.490958601,0.532671332,0.603489399,0.384377062,0.535820544,0.385063976,0.549639285,0.589590609,0.55114311,0.83218962
0.366669148,0.094159491,0.50262934,0.177175075,0.416493326,0.199723125,0.521811426,0.378367424,0.498169839,0.532040656,0.604712725,0.383800417,0.537834287,0.385182858,0.551792502,0.589522243,0.553813696,0.833075523
0.374465793,0.089483559,0.51215148,0.172021359,0.416747034,0.197860613,0.530114412,0.373534828,0.509714425,0.529298186,0.604850471,0.381367892,0.538390458,0.3852745,0.559274852,0.587988019,0.553290844,0.83371371
0.381634325,0.084397674,0.519143701,0.168563887,0.415785551,0.197374433,0.534175098,0.372031987,0.515447974,0.529281795,0.604726076,0.379288286,0.536887169,0.384984136,0.558401942,0.59235847,0.56050545,0.837959707
0.388263196,0.081447996,0.525088727,0.16638577,0.414703459,0.198328078,0.540321171,0.367879033,0.520300865,0.526028037,0.603993058,0.377395928,0.535903096,0.384349436,0.55558455,0.589371741,0.558755755,0.837010801
0.39426136,0.080158859,0.529312551,0.16308409,0.413979322,0.197584093,0.544888198,0.357782215,0.527325213,0.520876467,0.603232801,0.375666112,0.535824955,0.384141922,0.555821538,0.586773336,0.561432123,0.837469816
0.405955702,0.07902845,0.538348973,0.164616644,0.413434178,0.197650611,0.551770508,0.358903229,0.537339032,0.518235683,0.602916539,0.378231853,0.530233145,0.385069221,0.56196481,0.586756289,0.563788891,0.836827636
0.421375364,0.078611992,0.5459705,0.165147617,0.413128704,0.198305503,0.560057461,0.353911489,0.546460688,0.512607396,0.600229502,0.378355592,0.523710847,0.384999722,0.563855588,0.578247428,0.565955818,0.834005713
0.427522451,0.078435384,0.549851477,0.165073261,0.412089378,0.198782668,0.564363956,0.351414919,0.548675835,0.511309624,0.596899509,0.38419193,0.518256128,0.389637291,0.564701021,0.582200766,0.566059589,0.833851457
0.433377415,0.080315523,0.552395701,0.165780112,0.411462665,0.199021652,0.566520631,0.350754648,0.550348341,0.510584295,0.594213128,0.384175658,0.515234768,0.389551103,0.567862153,0.584842026,0.567883432,0.833712101
0.439604968,0.079351634,0.554508448,0.166217104,0.409753203,0.199218258,0.56851542,0.352046877,0.551537216,0.51151675,0.591289282,0.385017663,0.511288643,0.389867306,0.567689538,0.590793192,0.568897426,0.833711028
0.446874768,0.079595104,0.556738794,0.167413339,0.409054726,0.199371949,0.569399655,0.353009105,0.554219186,0.512223959,0.588808119,0.388780147,0.507281303,0.393015832,0.57021606,0.598669052,0.569594443,0.831987083
0.452467382,0.078916006,0.557070911,0.167567581,0.409013003,0.199410558,0.569905698,0.352861494,0.556036592,0.512551069,0.58649534,0.396040291,0.503582597,0.399459958,0.578175187,0.60513097,0.571202755,0.83055222
0.457520962,0.078827597,0.558300376,0.167755112,0.409074008,0.19958736,0.571120977,0.353215784,0.556430995,0.512920141,0.585666299,0.397772014,0.502604783,0.402359992,0.577480137,0.604670107,0.571087837,0.82459563
0.459883213,0.078428954,0.559906781,0.168532863,0.409108847,0.19963406,0.571645021,0.35362047,0.557065427,0.512998939,0.584120274,0.400925785,0.500412405,0.405726075,0.576438785,0.605779052,0.570816338,0.822357476
0.461978823,0.078642063,0.561139166,0.170844346,0.409512669,0.200515926,0.572132349,0.353900731,0.558153093,0.512998402,0.581327617,0.407794565,0.498164207,0.411263943,0.575471461,0.609915674,0.570424736,0.822524905
0.46271798,0.079650603,0.562374473,0.17214185,0.410728604,0.201927915,0.573537588,0.354121447,0.558834314,0.512470722,0.579472899,0.410422564,0.497333795,0.413381964,0.575227559,0.608468056,0.570822775,0.820690215
0.463004917,0.081256412,0.563395798,0.173401162,0.412754267,0.202903733,0.575876832,0.354193956,0.55936873,0.512623191,0.579541266,0.409975946,0.498124838,0.413075954,0.571794868,0.607656479,0.571090877,0.813945413
0.463406205,0.083021171,0.564562917,0.173370793,0.415089637,0.203749999,0.578900814,0.354280442,0.563090146,0.512139142,0.579969883,0.408490568,0.4990879,0.411857694,0.572910666,0.605459332,0.574325264,0.804354846
0.463669032,0.084014587,0.563925564,0.172280803,0.416372359,0.203639001,0.580448091,0.353113145,0.564062238,0.511581123,0.580315828,0.407650769,0.499234796,0.411122262,0.574076414,0.604879797,0.577866256,0.799576879
0.464156151,0.084975094,0.564584553,0.170006648,0.419010103,0.203129679,0.581693888,0.350902498,0.564550757,0.510527372,0.580476642,0.406254381,0.501382172,0.410540491,0.576247036,0.604764998,0.581410646,0.795510888
0.465448737,0.085051082,0.567209959,0.167379618,0.423223108,0.203052148,0.584302485,0.34673503,0.565860868,0.50952065,0.585546136,0.395478606,0.5076527,0.405678272,0.582671702,0.591485679,0.58487308,0.790038764
0.468270838,0.083763912,0.56944406,0.166023552,0.427083492,0.202089474,0.585829914,0.345124871,0.566815317,0.507398069,0.590557933,0.387635529,0.514359355,0.39959228,0.587190986,0.586164892,0.586383581,0.789508879
0.473202944,0.083392017,0.573559999,0.165435687,0.436157674,0.20206283,0.587987065,0.34412387,0.568649352,0.50446409,0.596847713,0.388226002,0.522035956,0.398171216,0.592490256,0.586071074,0.587673664,0.791581213
0.476052761,0.081337854,0.5765692,0.164620444,0.441482574,0.201990902,0.59108007,0.343378246,0.570705712,0.503089011,0.602189541,0.388751268,0.527781427,0.397872806,0.595416367,0.585217297,0.589091837,0.793411791
0.477941453,0.079574801,0.580230057,0.162768275,0.447797269,0.200909644,0.596483886,0.340418994,0.574089706,0.500097275,0.610529959,0.384875357,0.535239816,0.392125636,0.597868681,0.581656277,0.591037393,0.794465065
0.479618788,0.076047271,0.585039258,0.162090465,0.452983052,0.199450016,0.601062894,0.340046257,0.577842176,0.496894687,0.619742274,0.379760951,0.545311511,0.383934319,0.59500283,0.578648806,0.590218365,0.795612693
0.48127234,0.074190997,0.587818682,0.160531521,0.456297606,0.198389649,0.605522692,0.338626206,0.581403136,0.494478434,0.62250632,0.380904227,0.547628164,0.385339081,0.5973562,0.579149842,0.589416265,0.801228106
