nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.488882005,0.195694596,0.537418544,0.309348643,0.444187015,0.299725562,0.555842221,0.436911851,0.415737629,0.419163972,0.5182181,0.35654822,0.465658933,0.349907726,0.514014423,0.548252285,0.456244141,0.551580727,0.532635868,0.726133704,0.4377051,0.739744186,0.553006232,0.894806087,0.42114839,0.895709872
0.487601668,0.195182964,0.537572324,0.308380991,0.444132298,0.299289942,0.556167543,0.436963737,0.415919125,0.419233501,0.51758045,0.356974453,0.465916097,0.350069404,0.513869345,0.548818409,0.456039697,0.551924169,0.532999098,0.727125585,0.438071877,0.74063164,0.553510189,0.895420492,0.421718657,0.896819174
0.487355918,0.194107547,0.5373348,0.308288038,0.443939567,0.298645079,0.555868685,0.437417209,0.416298896,0.418376684,0.516864121,0.357297212,0.46636793,0.35002327,0.513502836,0.548343301,0.455583096,0.551275253,0.533564448,0.727141559,0.438140571,0.740581751,0.553550184,0.895357788,0.421962678,0.897748172
0.486976802,0.193395123,0.537680745,0.308111429,0.443809897,0.297901928,0.556292295,0.437831998,0.416261882,0.418767959,0.516652048,0.357382387,0.466321796,0.349598467,0.513172507,0.548425734,0.454966575,0.550929666,0.533287764,0.727419734,0.437760532,0.740814269,0.553595304,0.895300269,0.421509296,0.898112118
0.488011837,0.193438277,0.536891818,0.307647824,0.442880303,0.297086209,0.554045498,0.438127279,0.416489094,0.419046968,0.514061391,0.357656896,0.466692358,0.349198192,0.512718201,0.548006833,0.454460472,0.550460458,0.532821119,0.728152037,0.437389165,0.740528941,0.554335058,0.895746469,0.421626389,0.898507535
0.48849237,0.192402616,0.53702414,0.306433529,0.442085952,0.294515043,0.555327535,0.438756555,0.416413337,0.419190615,0.515368223,0.357924879,0.466401666,0.348405808,0.51167196,0.54797852,0.453140646,0.55012548,0.531716406,0.728472054,0.436708689,0.740726888,0.554229617,0.894612968,0.42165339,0.898161232
0.488663018,0.190589905,0.537314773,0.306284487,0.441850334,0.294299603,0.555305004,0.438794494,0.415773451,0.419384271,0.515492022,0.357420087,0.466018766,0.349430591,0.512056112,0.547945857,0.453375697,0.549925745,0.532473207,0.728617251,0.436913371,0.73986268,0.555086195,0.894332707,0.422521353,0.898360372
0.489237159,0.19032757,0.537228584,0.306261957,0.441652209,0.293845445,0.555164754,0.439515531,0.415792048,0.419332862,0.515228987,0.357821286,0.465701014,0.349551737,0.511793494,0.547621131,0.453249216,0.549336195,0.531743348,0.728634298,0.436962515,0.738676131,0.555067539,0.894447327,0.423375756,0.897545874
0.489230543,0.190436766,0.537231088,0.30586347,0.441419572,0.293334156,0.554843724,0.439554542,0.415860623,0.419595599,0.51411587,0.357575953,0.465708137,0.349368781,0.511086345,0.548065543,0.452377826,0.549441159,0.531474113,0.728916287,0.436632276,0.738598228,0.555196702,0.894021034,0.423957139,0.896168232
0.489531457,0.18988055,0.537663102,0.304866791,0.441461205,0.293102592,0.554149091,0.439648837,0.416084945,0.419921011,0.513723075,0.357576162,0.465796024,0.349719375,0.511398733,0.548257709,0.452537239,0.549696326,0.530518532,0.729126811,0.436646372,0.738715172,0.555097938,0.894608438,0.424669534,0.896877766
