nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_ankle_x,right_ankle_y
0.736539125,0.398996949,0.649814844,0.379492342,0.656545937,0.39045608,0.640707195,0.575800657,0.657873988,0.742373049,0.470949441,0.429186702,0.46541065,0.441647142,0.32912457,0.570703268,0.187901571,0.652980268
0.735889077,0.398921132,0.650372624,0.379141778,0.65881139,0.390486449,0.641581655,0.576304793,0.66032058,0.741966784,0.470825046,0.429575205,0.46548447,0.441941082,0.3295708,0.570700109,0.188841298,0.652669251
0.736486614,0.398986131,0.651398003,0.381588459,0.659736216,0.390396863,0.641763866,0.576396286,0.660639644,0.741747618,0.472254783,0.435125142,0.467179596,0.444198042,0.330187917,0.57116425,0.189685896,0.652805626
0.73651284,0.398911744,0.65101856,0.38069436,0.660373449,0.390232593,0.641926944,0.577156484,0.66189611,0.741298139,0.471437782,0.433416903,0.466898501,0.443984181,0.331162304,0.571178377,0.190563202,0.651555896
0.7364977,0.398701936,0.650996566,0.379721642,0.660333693,0.389891803,0.642278254,0.577128768,0.662326097,0.741222322,0.470989794,0.433072805,0.466447413,0.443994939,0.331139565,0.57108736,0.190648109,0.650442183
0.737018168,0.398674965,0.652439535,0.379688352,0.66066891,0.390031159,0.642282546,0.577514648,0.662028611,0.741019726,0.471362233,0.4331761,0.466484547,0.44459033,0.33160913,0.571895123,0.191561297,0.650468051
0.737784803,0.398665994,0.654478312,0.379649192,0.66088444,0.390023142,0.642633557,0.577184737,0.661938488,0.740811944,0.473132432,0.433374941,0.467504889,0.444728255,0.332350135,0.570977271,0.193402916,0.649016917
0.737883687,0.398667574,0.654774368,0.378220588,0.661059737,0.390095413,0.642992675,0.576119363,0.661552489,0.74028939,0.47313717,0.43024525,0.467465311,0.443306804,0.332234025,0.565554917,0.193529233,0.644156158
0.738689482,0.398485988,0.654964685,0.377093673,0.661649346,0.390161455,0.643493593,0.575814068,0.660088718,0.739808261,0.473628432,0.425849468,0.467701674,0.440738916,0.332175225,0.560495138,0.193573907,0.63974756
0.738943279,0.39725855,0.657420397,0.377148896,0.661993206,0.39085266,0.643562853,0.575567484,0.661256075,0.737710059,0.473776549,0.426034927,0.467720538,0.441003621,0.332359076,0.55877161,0.194534495,0.638808429
0.739766717,0.397249788,0.659075499,0.377741039,0.662412405,0.390809178,0.646033585,0.573834538,0.661562264,0.737643898,0.475037932,0.425430387,0.468480945,0.439587146,0.333714783,0.558469057,0.196101084,0.639900804
0.741276503,0.397169203,0.660034359,0.378326356,0.663179696,0.391334325,0.647783101,0.57346648,0.661519706,0.737631261,0.476904452,0.425725102,0.470442146,0.439921409,0.336424857,0.560444832,0.19902508,0.641174614
0.741103113,0.395515591,0.661745369,0.378962964,0.664274752,0.391320944,0.650665104,0.573396742,0.663259685,0.737644672,0.476937503,0.426369131,0.470402271,0.440047175,0.33779937,0.560376108,0.202180773,0.642180085
0.742425978,0.395542443,0.661287367,0.380519122,0.666534543,0.391226858,0.651638985,0.573279619,0.664014578,0.737712085,0.476338714,0.426212072,0.470374227,0.43949917,0.339040726,0.560054779,0.203637958,0.643452585
0.741370916,0.395958126,0.661122441,0.380174398,0.666813433,0.391084045,0.6525774,0.573393226,0.664843738,0.738101661,0.475589752,0.4259758,0.46945402,0.438968152,0.33892563,0.559640646,0.204132691,0.646030903
0.743007362,0.396631032,0.66186291,0.380188853,0.668294668,0.388709545,0.651611269,0.572878122,0.664393306,0.736923575,0.475083202,0.425041586,0.468800008,0.434442729,0.338371605,0.558936298,0.204176486,0.644687831
0.743051469,0.396524906,0.663521886,0.379392564,0.670582414,0.387648344,0.651755989,0.572500169,0.663449883,0.736612856,0.476436555,0.421854913,0.470267832,0.43203938,0.340863526,0.555723965,0.205529481,0.644491315
